repo_name,ref,path,symlink_target
Constellation-Solutions/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
pshen/ansible,refs/heads/devel,test/utils/docker/httptester/httptester.yml,
ahamilton55/ansible,refs/heads/devel,test/utils/docker/httptester/httptester.yml,
NitorCreations/aws-utils,refs/heads/master,opt/nitor/bakery-templates/bake-image.yml,
freedomofpress/securedrop,refs/heads/develop,molecule/builder-focal/playbook.yml,
freedomofpress/securedrop,refs/heads/develop,install_files/ansible-base/securedrop-qa.yml,
perfsonar/pscheduler,refs/heads/master,scripts/vagrant/dev-cluster/ansible/main.yml,
sudohippie/ansible-playbooks,refs/heads/master,ubuntu/install-all.yml,
angstwad/ansible-docker-rackspace,refs/heads/master,playbooks/docker-rackspace-ubuntu.yml,
angstwad/ansible-docker-rackspace,refs/heads/master,playbooks/docker-rackspace-ubuntu-1204.yml,
ernestgwilsonii/ansible,refs/heads/master,RaspberryPi_Raspbian-Install-Docker-playbook.yml,
ernestgwilsonii/ansible,refs/heads/master,RaspberryPi_Raspbian-Apply-OS-Updates-playbook.yml,
ernestgwilsonii/ansible,refs/heads/master,DietPi_Apply-OS-Updates-playbook.yml,
exoscale/ansible-pgsql-demo,refs/heads/master,tasks/install.yml,
naslanidis/ansible,refs/heads/devel,test/utils/docker/httptester/httptester.yml,
joshuacox/dockerethinkdb,refs/heads/master,docker.yml,
debugacademy/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.php-versions/molecule/default/playbook-7.1.yml,
debugacademy/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.git/molecule/default/playbook.yml,
debugacademy/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.elasticsearch/molecule/default/playbook.yml,
debugacademy/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.php-versions/molecule/default/playbook.yml,
debugacademy/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.drush/molecule/default/playbook-source.yml,
debugacademy/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.php-mysql/molecule/default/playbook.yml,
debugacademy/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.apache/molecule/default/playbook.yml,
debugacademy/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.php-xdebug/molecule/default/playbook.yml,
debugacademy/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.php-versions/molecule/default/playbook-7.3.yml,
debugacademy/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.git/molecule/default/playbook-source.yml,
debugacademy/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.firewall/molecule/default/playbook.yml,
debugacademy/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.java/molecule/default/playbook.yml,
debugacademy/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.postgresql/molecule/default/playbook.yml,
debugacademy/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.php-redis/molecule/default/playbook.yml,
debugacademy/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.php-pecl/molecule/default/playbook.yml,
debugacademy/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.php-pgsql/molecule/default/playbook.yml,
