repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
tdooner/chronos,refs/heads/master,Dockerfile,,ubuntu:14.04,tdooner,chronos
IRT-SystemX/env-xvisor,refs/heads/master,Dockerfile,,ubuntu:trusty,IRT-SystemX,env-xvisor
Clever/oplog-replay,refs/heads/master,Dockerfile,,ubuntu:14.04,Clever,oplog-replay
candlepin/virt-who,refs/heads/main,docker/ci/Dockerfile,,ubuntu:trusty,candlepin,virt-who
tk23/gitlabhq,refs/heads/master,docker/Dockerfile,,ubuntu:14.04,tk23,gitlabhq
haiyidemo01/tomcat01,refs/heads/master,ci/docker-image/Dockerfile,,ubuntu:trusty,haiyidemo01,tomcat01
openslack/openslack-crawler,refs/heads/master,Dockerfile,,ubuntu:trusty,openslack,openslack-crawler
zimbatm/ffmpeg-static,refs/heads/master,Dockerfile,,ubuntu:bionic,zimbatm,ffmpeg-static
xeb/fastText-docker,refs/heads/master,Dockerfile.binary,,ubuntu:xenial,xeb,fastText-docker
xeb/fastText-docker,refs/heads/master,Dockerfile,,ubuntu:xenial,xeb,fastText-docker
aznashwan/coriolis-web,refs/heads/master,Dockerfile,,ubuntu:18.04,aznashwan,coriolis-web
LTLMoP/LTLMoP,refs/heads/development,Dockerfile,,ubuntu:14.04,LTLMoP,LTLMoP
googleapis/google-cloud-cpp,refs/heads/main,ci/cloudbuild/dockerfiles/debian-github.Dockerfile,,debian:bullseye-slim,googleapis,google-cloud-cpp
googleapis/google-cloud-cpp,refs/heads/main,ci/cloudbuild/dockerfiles/demo-debian-bullseye.Dockerfile,,debian:bullseye,googleapis,google-cloud-cpp
googleapis/google-cloud-cpp,refs/heads/main,ci/cloudbuild/dockerfiles/demo-ubuntu-bionic.Dockerfile,,ubuntu:bionic,googleapis,google-cloud-cpp
googleapis/google-cloud-cpp,refs/heads/main,ci/cloudbuild/dockerfiles/ubuntu-bionic.Dockerfile,,ubuntu:bionic,googleapis,google-cloud-cpp
googleapis/google-cloud-cpp,refs/heads/main,ci/cloudbuild/dockerfiles/ubuntu-focal.Dockerfile,,ubuntu:focal,googleapis,google-cloud-cpp
googleapis/google-cloud-cpp,refs/heads/main,ci/cloudbuild/dockerfiles/demo-debian-stretch.Dockerfile,,debian:stretch,googleapis,google-cloud-cpp
googleapis/google-cloud-cpp,refs/heads/main,ci/cloudbuild/dockerfiles/ubuntu-bionic-install.Dockerfile,,ubuntu:bionic,googleapis,google-cloud-cpp
googleapis/google-cloud-cpp,refs/heads/main,ci/cloudbuild/dockerfiles/demo-ubuntu-focal.Dockerfile,,ubuntu:focal,googleapis,google-cloud-cpp
googleapis/google-cloud-cpp,refs/heads/main,ci/cloudbuild/dockerfiles/demo-debian-buster.Dockerfile,,debian:buster,googleapis,google-cloud-cpp
googleapis/google-cloud-cpp,refs/heads/main,ci/cloudbuild/dockerfiles/debian-stretch.Dockerfile,,debian:stretch,googleapis,google-cloud-cpp
QUANTAXIS/QUANTAXIS,refs/heads/master,docker/qa-rust-base/Dockerfile,,ubuntu:16.04,QUANTAXIS,QUANTAXIS
manoharprabhu/CodeCompiler,refs/heads/master,mongodb/Dockerfile,,ubuntu:14.04,manoharprabhu,CodeCompiler
massysett/stackage,refs/heads/master,automated/dockerfiles/lts-10.0/Dockerfile,,ubuntu:16.04,massysett,stackage
massysett/stackage,refs/heads/master,automated/dockerfiles/lts-15.5/Dockerfile,,ubuntu:18.04,massysett,stackage
massysett/stackage,refs/heads/master,automated/dockerfiles/lts-13.20/Dockerfile,,ubuntu:16.04,massysett,stackage
massysett/stackage,refs/heads/master,automated/dockerfiles/lts-12.0/Dockerfile,,ubuntu:16.04,massysett,stackage
massysett/stackage,refs/heads/master,automated/dockerfiles/lts-13.0/Dockerfile,,ubuntu:16.04,massysett,stackage
massysett/stackage,refs/heads/master,automated/dockerfiles/lts-15.0/Dockerfile,,ubuntu:18.04,massysett,stackage
massysett/stackage,refs/heads/master,automated/dockerfiles/lts-16.12/Dockerfile,,ubuntu:18.04,massysett,stackage
massysett/stackage,refs/heads/master,automated/dockerfiles/lts-12.26/Dockerfile,,ubuntu:16.04,massysett,stackage
massysett/stackage,refs/heads/master,automated/dockerfiles/lts-14.0/Dockerfile.sub,,ubuntu:18.04,massysett,stackage
massysett/stackage,refs/heads/master,automated/dockerfiles/lts-16.0/Dockerfile,,ubuntu:18.04,massysett,stackage
massysett/stackage,refs/heads/master,automated/dockerfiles/lts-14.0/Dockerfile,,ubuntu:18.04,massysett,stackage
massysett/stackage,refs/heads/master,automated/dockerfiles/lts-13.12/Dockerfile,,ubuntu:16.04,massysett,stackage
massysett/stackage,refs/heads/master,automated/dockerfiles/lts-9.0/Dockerfile,,ubuntu:16.04,massysett,stackage
massysett/stackage,refs/heads/master,automated/dockerfiles/lts-11.0/Dockerfile,,ubuntu:16.04,massysett,stackage
btcdraft/draftcoin,refs/heads/master,Dockerfile,,ubuntu:14.04,btcdraft,draftcoin
Oefenweb/ansible-updatedb,refs/heads/master,Dockerfile,,ubuntu:16.04,Oefenweb,ansible-updatedb
brobey8/docker-ubuntu-lamp,refs/heads/master,Dockerfile,,ubuntu:16.04,brobey8,docker-ubuntu-lamp
potto007/druid-avro,refs/heads/master,integration-tests/docker/Dockerfile,,ubuntu:14.04,potto007,druid-avro
LuminateWireless/bazel,refs/heads/master,tools/cpp/test/Dockerfile.debian-stretch,,debian:stretch,LuminateWireless,bazel
mazafrav/JdeRobot,refs/heads/master,scripts/docker/jderobot/oficial/Dockerfile,,ubuntu:xenial,mazafrav,JdeRobot
bearstech/moby,refs/heads/master,contrib/nnp-test/Dockerfile,,debian:bullseye-slim,bearstech,moby
