repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
richardmleggett/NanoOK,refs/heads/master,Dockerfile,,ubuntu:14.04,richardmleggett,NanoOK
lablup/sorna-repl,refs/heads/master,haskell/Dockerfile.ghc8.0-ubuntu18.04,,ubuntu:18.04,lablup,sorna-repl
huawei-microservice-demo/sockshop-demo,refs/heads/master,user/Dockerfile,,ubuntu:14.04,huawei-microservice-demo,sockshop-demo
manuelalonsobraojos/proyectoIV,refs/heads/master,Dockerfile,,ubuntu:14.04,manuelalonsobraojos,proyectoIV
openvstorage/alba,refs/heads/master,docker/ubuntu-14.04-verify/Dockerfile,,ubuntu:14.04.3,openvstorage,alba
mcgettin/githubLabNMG,refs/heads/master,python-flask/Dockerfile,,ubuntu:trusty,mcgettin,githubLabNMG
andreknieriem/photobooth,refs/heads/master,Dockerfile,,debian:buster-slim,andreknieriem,photobooth
huangliangjun/vessel,refs/heads/master,vendor/k8s.io/kubernetes/cluster/mesos/docker/socat/Dockerfile,,ubuntu:14.04.3,huangliangjun,vessel
Clever/oplog-replay,refs/heads/master,Dockerfile,,ubuntu:14.04,Clever,oplog-replay
arthurliang/dockerfiles,refs/heads/master,proxychain/Dockerfile,,ubuntu:16.04,arthurliang,dockerfiles
yepengxj/df_st_origin,refs/heads/master,Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/mumble/Dockerfile,,ubuntu:14.04,yepengxj,df_st_origin
EvanKrall/hacheck,refs/heads/master,dockerfiles/itest/itest_trusty/Dockerfile,,ubuntu:14.04,EvanKrall,hacheck
Kalimaha/simple_flask_docker_composer,refs/heads/master,server/Dockerfile,,ubuntu:14.04,Kalimaha,simple_flask_docker_composer
stackdocker/container-ops,refs/heads/master,ubuntu-14-04-apt-mirror/Dockerfile,,ubuntu:14.04,stackdocker,container-ops
SIGSEGV111/cl3,refs/heads/master,image-builder/infrabox/debian-9_0-clang/Dockerfile,,debian:9.0,SIGSEGV111,cl3
jrabbit/taskd-docker,refs/heads/master,bionic.Dockerfile,,ubuntu:bionic,jrabbit,taskd-docker
tgockel/json-voorhees,refs/heads/trunk,config/docker/debian-9.9/Dockerfile,,debian:9.9,tgockel,json-voorhees
SIGSEGV111/cl3,refs/heads/master,image-builder/infrabox/debian-9-gcc/Dockerfile,,debian:9,SIGSEGV111,cl3
MediaKraken/MediaKraken_Deployment,refs/heads/master,docker/debian/ComposeMediaKrakenMooseFSMaster/Dockerfile,,debian:stretch,MediaKraken,MediaKraken_Deployment
go-tin/tin,refs/heads/master,vendor/github.com/dgraph-io/dgraph/contrib/nightly/Dockerfile,,ubuntu:16.04,go-tin,tin
se-passau/SPLConqueror,refs/heads/master,Dockerfile,,debian:stretch,se-passau,SPLConqueror
pragyasardana/Docker-cr-combined,refs/heads/cr-combined,builder/dockerfile/parser/testfiles/mumble/Dockerfile,,ubuntu:14.04,pragyasardana,Docker-cr-combined
kaiterra/dockerfiles,refs/heads/master,golang-base/buster/Dockerfile,,debian:buster-20210511-slim,kaiterra,dockerfiles
lauly/dr,refs/heads/master,builder/parser/testfiles/mumble/Dockerfile,,ubuntu:14.04,lauly,dr
cloudfoundry-incubator/bosh-openstack-cpi-release,refs/heads/master,ci/docker/openstack-cpi-release/Dockerfile,,ubuntu:16.04,cloudfoundry-incubator,bosh-openstack-cpi-release
alex65536/tester-web,refs/heads/master,build/image/Dockerfile,,debian:9.4,alex65536,tester-web
Perl/docker-perl,refs/heads/master,5.034.000-slim-bullseye/Dockerfile,,debian:bullseye-slim,Perl,docker-perl
stloeffler/texworks-travis-ci,refs/heads/master,.github/workflows/Dockerfile.legacy,,ubuntu:trusty,stloeffler,texworks-travis-ci
oglimmer/linky,refs/heads/master,build/docker/linky/Dockerfile,,ubuntu:16.04,oglimmer,linky
duoduosys/Duoduocoin2,refs/heads/master,src/test/containers/proxy/Dockerfile,,ubuntu:14.04,duoduosys,Duoduocoin2
henriklynggaard/ansible-role-rubymine,refs/heads/master,tests/Dockerfile_ubuntu_1610,,ubuntu:16.10,henriklynggaard,ansible-role-rubymine
VerizonDigital/waflz,refs/heads/master,Dockerfile,,ubuntu:16.04,VerizonDigital,waflz
swiftdocker/docker-swift,refs/heads/main,4.2/ubuntu/16.04/Dockerfile,,ubuntu:16.04,swiftdocker,docker-swift
misgeatgit/external-tools,refs/heads/master,AtomViewer/Dockerfile,,ubuntu:trusty,misgeatgit,external-tools
IGNF/gilviewer,refs/heads/master,Dockerfile,,ubuntu:14.04,IGNF,gilviewer
willbryant/kitchen_sync,refs/heads/master,test/Dockerfile-ubuntu:18.04-postgresql:12-no-postgis,,ubuntu:18.04,willbryant,kitchen_sync
tierpod/docker-images,refs/heads/master,x11-common/Dockerfile.ubuntu,,ubuntu:trusty,tierpod,docker-images
grycap-jenkins/docker,refs/heads/master,git-base/Dockerfile,,ubuntu:14.04,grycap-jenkins,docker
noeljarencio/supervisord-nginx-phpfpm-openvpn,refs/heads/master,Dockerfile,,ubuntu:14.04,noeljarencio,supervisord-nginx-phpfpm-openvpn
